user_id,full_name,state,occupation,pan_clean,pan_valid,aadhaar_clean,aadhaar_valid,date_of_birth_clean,city_clean,monthly_income_clean,signup_timestamp_clean,kyc_status_clean,risk_segment_clean
USR16112,Dhriti Deshmukh,Maharashtra,Retired,SEJAA8194O,True,715658320763,True,1967-04-06 00:14:00,Mumbai,35119.0,2025-12-02 02:18:16,VERIFIED,LOW
USR17216,Megha Jani,Uttar Pradesh,Freelancer,QT0ZZ5561X,False,023412025028,True,,Lucknow,80907.0,2024-01-31 00:00:00,VERIFIED,MEDIUM
USR85256,Eta Ravi,Delhi,Salaried,YGVOI9236W,True,176258817110,True,1969-02-19 08:25:23,Delhi,24705.0,2026-02-03 00:00:00,VERIFIED,LOW
USR20918,Vanya Chad,Karnataka,Self Employed,JDGOH0074Y,True,894463789078,True,1961-04-20 00:00:00,Bangalore,14124.0,2024-04-25 00:00:00,REJECTED,MEDIUM
USR34742,Ati Dash,Rajasthan,Unemployed,OOQCG9609N,True,985048780290,True,1962-12-20 00:00:00,Jaipur,43738.0,2025-07-25 00:00:00,VERIFIED,HIGH
USR99161,Jalsa Malhotra,Punjab,Retired,QLSKS5105S,True,944300371193,True,1963-05-20 05:27:00,Jalandhar,8083.0,,REJECTED,LOW
USR16625,Anika Vora,Uttar Pradesh,Unemployed,CACWZ2722S,True,017979940718,True,,Lucknow,28634.0,2026-03-08 00:00:00,VERIFIED,MEDIUM
USR13678,Reva Jaggi,Rajasthan,Gig Worker,KWLPY9915,False,577479489696,True,1982-05-27 00:00:00,Jaipur,24200.0,2024-02-16 00:00:00,PENDING,LOW
USR83333,Gautam Bajwa,Telangana,Freelancer,HLNXD7947Q,True,846950176261,True,1969-08-24 03:28:00,Hyderabad,24890.0,2025-07-10 08:23:10,REJECTED,LOW
USR53554,Hemani Behl,Delhi,Business Owner,SIBUO4381D,True,448832778808,True,1968-09-20 20:31:53,Delhi,26617.0,2024-01-03 00:50:12,VERIFIED,LOW
USR77711,Warinder Solanki,Maharashtra,Gig Worker,MFDIC1823G,True,,False,1987-07-15 00:00:00,Pune,81093.0,2025-04-06 14:45:00,PENDING,HIGH
USR69726,Rudra Lal,West Bengal,Student,CXBKD3190N,True,976073035125,True,1995-08-28 01:04:47,Kolkata,17700.0,2024-12-30 00:00:00,VERIFIED,LOW
USR53544,Daniel Gokhale,Uttar Pradesh,Self Employed,UFLEH5366C,True,,False,1998-07-16 00:00:00,Lucknow,32124.0,2025-10-12 00:00:00,VERIFIED,HIGH
USR57699,Advik Om,Uttar Pradesh,Freelancer,MXMQW7893W,True,,False,1999-04-26 00:00:00,Lucknow,19875.0,2024-04-06 00:00:00,VERIFIED,LOW
USR53382,Mekhala Golla,Telangana,Retired,BOBCZ3795L,True,652660807695,True,1967-06-02 00:00:00,Hyderabad,13098.0,2026-01-12 00:00:00,VERIFIED,LOW
USR26959,Ganga Pai,Punjab,Retired,JXFNR4730M,True,149449272703,True,1966-07-04 00:00:00,Amritsar,19624.0,2026-02-12 00:00:00,VERIFIED,UNKNOWN
USR32767,Sanya Dalal,Delhi,Gig Worker,HBFFH5169P,True,584280034012,True,1964-01-18 00:00:00,Delhi,17051.0,2024-10-11 00:00:00,VERIFIED,HIGH
USR86400,Qadim Nayak,Telangana,Retired,AQHFS2686A,True,945287372343,True,1978-06-09 00:00:00,Hyderabad,19485.0,2026-02-06 04:09:04,VERIFIED,LOW
